purchaser_name,matched_cin,matched_company_name,match_score,match_type
B.DAS AND ASSOCIATES PVT. LTD.,U51909AS2001PTC006444,S C DAS & ASSOCIATES PRIVATE LIMITED,0.6667,bond_purchaser_to_company
B.DAS AND ASSOCIATES PVT. LTD.,U51109AS1994PTC004126,D J AND ASSOCIATES PVT LTD,0.6667,bond_purchaser_to_company
B.DAS AND ASSOCIATES PVT. LTD.,U55101AS1988PTC002910,H S AND ASSOCIATES PVT LTD,0.6667,bond_purchaser_to_company
SHIVAM TRANSCON PRIVATE LIMITED,U60231AS1997PTC005249,SHIVAM TRANSCON PVT LTD,1.0,bond_purchaser_to_company
BALU IRON AND STEEL COMPANY,U24319AS2024PTC027202,K D IRON AND STEEL PRIVATE LIMITED,0.75,bond_purchaser_to_company
BALU IRON AND STEEL COMPANY,U24319AS2023PTC025000,NIHARIKA IRON AND STEEL PRIVATE LIMITED,0.6,bond_purchaser_to_company
BALU IRON AND STEEL COMPANY,U27100AS2015PTC012010,RUHINIPATI IRON AND STEEL PRIVATE LIMITED,0.6,bond_purchaser_to_company
BALU IRON AND STEEL COMPANY,U51420AS1995PTC004518,D.S.IRON AND STEEL CO PVT LTD,0.6,bond_purchaser_to_company
BALU IRON AND STEEL COMPANY,U27101AS1987PTC002686,BRAHMAPUTRA IRON AND STEEL COMPANY PRIVATE LIMITED,0.6,bond_purchaser_to_company
D R INTERNATIONAL PRIVATE LIMITED,L51909AS1988PLC002850,S.B. INTERNATIONAL LIMITED,1.0,bond_purchaser_to_company
IDEAL REAL ESTATES PRIVATE LIMITED,U70101AS2011PTC010494,A A D REAL ESTATES PRIVATE LIMITED,0.6667,bond_purchaser_to_company
IDEAL REAL ESTATES PRIVATE LIMITED,U01100AS2022PTC022710,P.D.H. REAL ESTATES PRIVATE LIMITED,0.6667,bond_purchaser_to_company
IDEAL REAL ESTATES PRIVATE LIMITED,U70100AS2011PTC010403,K. B. REAL ESTATES PRIVATE LIMITED,0.6667,bond_purchaser_to_company
J B ENTERPRISE,U55101AS1986PTC002580,J K ENTERPRISE PVT LTD,1.0,bond_purchaser_to_company
J B ENTERPRISE,U31100AS2006PTC008179,L.B. ENTERPRISE PRIVATE LIMITED,1.0,bond_purchaser_to_company
J B ENTERPRISE,U26960AS2002PTC006815,L L ENTERPRISE PRIVATE LIMITED,1.0,bond_purchaser_to_company
C R ASSOCIATES,U45309AS2023PTC024082,K.G.S.P ASSOCIATES PRIVATE LIMITED,1.0,bond_purchaser_to_company
C R ASSOCIATES,U45201AS2003PTC007275,H B ASSOCIATES PRIVATE LIMITED,1.0,bond_purchaser_to_company
C R ASSOCIATES,U70101AS2005PTC007894,B N R ASSOCIATES PRIVATE LIMITED,1.0,bond_purchaser_to_company
C R ASSOCIATES,U63090AS1998PTC005341,M.R. ASSOCIATES PRIVATE LIMITED,1.0,bond_purchaser_to_company
C R ASSOCIATES,U51397AS2004PTC007526,M M G ASSOCIATES PRIVATE LIMITED,1.0,bond_purchaser_to_company
J K CEMENT LIMITED,U26940AS2010PTC010182,Y.K. CEMENT PRIVATE LIMITED,1.0,bond_purchaser_to_company
J K CEMENT LIMITED,U26941AS2008PTC008773,A.G.CEMENT PRIVATE LIMITED,1.0,bond_purchaser_to_company
ANTIQUE INDIA PRIVATE LIMITED,U51109AS1999PTC005921,ANTIQUE INDIA PRIVATE LIMITED,1.0,bond_purchaser_to_company
