entity_id,company_name,cin,composite_risk_score,risk_tier,bid_pattern_score,shell_risk_score,political_score,financials_score,num_connections,requires_human_review
U26102AS1989PTC003170,KEELSON FRP PVT LTD,U26102AS1989PTC003170,33.69,MEDIUM,0.0,71.66,0.0,78.87,1,True
U17116AS1992PTC003728,SAKTHI FABRICS PVT.LTD.,U17116AS1992PTC003728,33.69,MEDIUM,0.0,71.66,0.0,78.87,1,True
U27107AS1987PTC002671,R.B.C TECHNOCRATS CONCERN PVT LTD,U27107AS1987PTC002671,33.69,MEDIUM,0.0,71.66,0.0,78.87,1,True
U27107AS1982PTC001950,ASHISH STEELS PVT LIMITED,U27107AS1982PTC001950,33.67,MEDIUM,0.0,71.39,0.0,79.1,1,True
U24239AS1988PTC003087,LLOYDS PHARMACEUTICALS PVT LTD,U24239AS1988PTC003087,33.67,MEDIUM,0.0,71.39,0.0,79.13,1,True
U01119AS1997PTC005248,SASWATA AGROFARMS INDIA PVT LTD,U01119AS1997PTC005248,33.66,MEDIUM,0.0,71.95,0.0,78.36,1,True
U22121AS1969PTC001306,METAL ELECTRIC PVT LTD,U22121AS1969PTC001306,33.65,MEDIUM,0.0,71.39,0.0,79.02,1,True
U51503AS2012PTC011281,JB EARTHMOVERS PRIVATE LIMITED,U51503AS2012PTC011281,33.65,MEDIUM,0.0,79.72,0.0,68.59,1,True
U67120AS1989PTC003312,JNANADAYEENI AGENCIES PVT LTD,U67120AS1989PTC003312,33.64,MEDIUM,0.0,71.66,0.0,78.65,1,True
U36991AS1998PTC005524,RUKMINI COMPUTER PERIPHERALS PVT LTD,U36991AS1998PTC005524,33.64,MEDIUM,0.0,71.66,0.0,78.65,1,True
U55101AS1985PTC002403,UJJALA FINANCE AND INDUSTRIAL PVT LTD,U55101AS1985PTC002403,33.64,MEDIUM,0.0,71.66,0.0,78.65,1,True
U70109AS1983PTC002091,GANGAPRASAD NOPATRAY PVT LTD,U70109AS1983PTC002091,33.64,MEDIUM,0.0,71.66,0.0,78.65,1,True
U27101AS1998PTC005523,SUNIT AGRO FUELS PVT LTD,U27101AS1998PTC005523,33.64,MEDIUM,0.0,71.66,0.0,78.65,1,True
U51909AS1974PTC001555,EMINENT CREDIT & CHIT FUND CO PVT LTD,U51909AS1974PTC001555,33.64,MEDIUM,0.0,71.95,0.0,78.26,1,True
U45201AS2008PTC008815,PATKAI DEVELOPERS PRIVATE LIMITED,U45201AS2008PTC008815,33.64,MEDIUM,0.0,70.83,0.0,79.68,1,True
U65929AS1936PLC000465,LOAN CO OF ASSAM LTD,U65929AS1936PLC000465,33.64,MEDIUM,0.0,70.83,0.0,79.68,1,True
U18101AS1992PTC003731,ACHYUT TEXTILES PVT LTD,U18101AS1992PTC003731,33.63,MEDIUM,0.0,71.11,0.0,79.24,1,True
U18101AS1992PTC003730,MAYA FABRICS PVT LTD,U18101AS1992PTC003730,33.63,MEDIUM,0.0,71.11,0.0,79.24,1,True
U74140AS1978PTC001736,INDUSTRIAL CONSULTANCY & CONSTRUCTIONS P VT LTD,U74140AS1978PTC001736,33.63,MEDIUM,0.0,71.11,0.0,79.24,1,True
U18101AS1992PTC003727,MADHUSUDAN TEXTILES PVT LTD,U18101AS1992PTC003727,33.63,MEDIUM,0.0,71.11,0.0,79.24,1,True
U70101AS1995PTC004594,SADASIVA ESTATE AND BUILDERS PVT LTD,U70101AS1995PTC004594,33.62,MEDIUM,0.0,71.39,0.0,78.87,1,True
U70101AS1998PTC005407,BHARADWAJ APARTMENTS PVT LTD,U70101AS1998PTC005407,33.62,MEDIUM,0.0,71.39,0.0,78.87,1,True
U92490AS1994PTC004139,SRISHTI SERVICES PVT LTD,U92490AS1994PTC004139,33.62,MEDIUM,0.0,71.39,0.0,78.87,1,True
U20211AS1994PTC004115,TAINWALA TIMBERTECH PVT LTD,U20211AS1994PTC004115,33.62,MEDIUM,0.0,71.39,0.0,78.87,1,True
U22121AS1974PTC001565,PRAG JYOTISH PUBLICATION PVT LTD,U22121AS1974PTC001565,33.61,MEDIUM,0.0,71.66,0.0,78.5,1,True
U65921AS1987PTC002805,BRAHMPUTRA COMMERCIAL AND LEASING CO PVT LTD,U65921AS1987PTC002805,33.61,MEDIUM,0.0,71.66,0.0,78.5,1,True
U20211AS1985PTC002345,VARDHA VENEERS PVT LTD,U20211AS1985PTC002345,33.61,MEDIUM,0.0,71.66,0.0,78.5,1,True
U31401AS1965PTC001249,JANTRA SHILPA PVT LTD,U31401AS1965PTC001249,33.6,MEDIUM,0.0,71.11,0.0,79.12,1,True
U45201AS2008PTC008682,SUBHA DHARITRI BUILDERS PRIVATE LIMITED,U45201AS2008PTC008682,33.58,MEDIUM,0.0,70.56,0.0,79.68,1,True
U70101AS1998PTC005508,SWARANAM CREATORS PVT LTD,U70101AS1998PTC005508,33.58,MEDIUM,0.0,71.39,0.0,78.65,1,True
U51909AS2008PTC008788,DIAMOND TRADING NETWORK COMPANY PRIVATE LIMITED,U51909AS2008PTC008788,33.58,MEDIUM,0.0,70.56,0.0,79.68,1,True
U45202AS2008PTC008806,LUIT INFRASTRUCTURE PRIVATE LIMITED,U45202AS2008PTC008806,33.58,MEDIUM,0.0,70.56,0.0,79.68,1,True
U51900AS2008PTC008817,SKYLARK NETWORK MARKETING PRIVATE LIMITED,U51900AS2008PTC008817,33.58,MEDIUM,0.0,70.56,0.0,79.68,1,True
U60231AS2007PTC008287,NE-EXPRESS WAY CARRIERS PRIVATE LIMITED,U60231AS2007PTC008287,33.58,MEDIUM,0.0,70.56,0.0,79.68,1,True
U99999AS1988PTC003029,ABHINANDAN ENTERPRISES PVT LIMITED,U99999AS1988PTC003029,33.58,MEDIUM,0.0,70.56,0.0,79.68,1,True
U99999AS1988PTC003028,RISHAB COMMERCIALS PVT LTD,U99999AS1988PTC003028,33.58,MEDIUM,0.0,70.56,0.0,79.68,1,True
U24111AS1986PLC002491,ASSAM OSHZAN LTD,U24111AS1986PLC002491,33.57,MEDIUM,0.0,70.83,0.0,79.32,1,True
U27109AS1984PLC002201,A T C INDUSTRIES LTD,U27109AS1984PLC002201,33.57,MEDIUM,0.0,70.83,0.0,79.32,1,True
U67120AS1986PLC002562,ASSAM FINANCE AND CONSULTANCY LIMITED,U67120AS1986PLC002562,33.57,MEDIUM,0.0,70.83,0.0,79.32,1,True
U45201AS1990PTC003433,BRAHMAPUTRA CONSUMER PRODUCTS PVT LTD,U45201AS1990PTC003433,33.56,MEDIUM,0.0,70.83,0.0,79.24,1,True
U70101AS1993PTC003960,TARUN REAL ESTATES AND DEVELOPERS PVT LT D,U70101AS1993PTC003960,33.56,MEDIUM,0.0,70.83,0.0,79.24,1,True
U72100AS1989PTC003268,MITAG CONTAINERS PVT LTD,U72100AS1989PTC003268,33.56,MEDIUM,0.0,71.66,0.0,78.21,1,True
U24111AS1993PTC003951,BRAHMAPUTRA OXYGEN PVT LTD,U24111AS1993PTC003951,33.56,MEDIUM,0.0,70.83,0.0,79.24,1,True
U24111AS1988PTC002979,EAST END GASES PVT LTD,U24111AS1988PTC002979,33.56,MEDIUM,0.0,70.83,0.0,79.24,1,True
U01132AS1974PTC001529,COROONA ELECTRICALS PVT LTD,U01132AS1974PTC001529,33.55,MEDIUM,0.0,71.11,0.0,78.87,1,True
U15412AS1991PTC003582,SHREE SUSWANI FOOD INDUSTRY PVT LTD,U15412AS1991PTC003582,33.55,MEDIUM,0.0,71.11,0.0,78.87,1,True
U60231AS1987PTC002650,INDO SAFE INDUSTRIES PVT LTD,U60231AS1987PTC002650,33.55,MEDIUM,0.0,71.11,0.0,78.87,1,True
U51109AS2000PTC006142,EVIAN MARKETING PRIVATE LIMITED,U51109AS2000PTC006142,33.55,MEDIUM,0.0,71.11,0.0,78.87,1,True
U51909AS1987PLC002768,CALIX FINANCIAL CORPORATION LTD,U51909AS1987PLC002768,33.54,MEDIUM,0.0,75.28,0.0,73.59,1,True
U70101AS1980PLC001807,HIM CONTAINERS LTD,U70101AS1980PLC001807,33.54,MEDIUM,0.0,75.28,0.0,73.59,1,True
