entity_id,entity_name,entity_type,source
U45203AS1964SGC001222,ASSAM GOVT CONSTRUCTION CORPN LTD,COMPANY,companies_registry
U45203AS2005PTC007972,PAVEMENT & STRUCTURAL CONSTRUCTIONS PRIVATE LIMITED,COMPANY,companies_registry
U45203AS2012PTC011026,PRANTIK STRUCTURES & SUPPLY PRIVATE LIMITED,COMPANY,companies_registry
U70101AS2006PTC008079,MANGALAM (ASSAM) DEVELOPERS PRIVATE LIMITED,COMPANY,companies_registry
U70101AS2006PTC008138,HI-FI REALTORS PRIVATE LIMITED,COMPANY,companies_registry
U45209AS2013PTC011605,ARBE SONS CO PRIVATE LIMITED,COMPANY,companies_registry
U70101AS2011PTC010615,UNNAYAN REAL ESTATE & CONSTRUCTIONS PRIVATE LIMITED,COMPANY,companies_registry
U80200AS2024PTC026413,FORENTECH SERVICES PRIVATE LIMITED,COMPANY,companies_registry
U80300AS2021PTC022036,TECH BOOSTER EDUCATION PRIVATE LIMITED,COMPANY,companies_registry
U70102AS1992PTC003684,LUIT BUILDER PVT LTD,COMPANY,companies_registry
U70102AS2012PTC010894,N.E. REALTORS PRIVATE LIMITED,COMPANY,companies_registry
U80301AS2021OPC022396,NE SHIKSHA (OPC) PRIVATE LIMITED,COMPANY,companies_registry
U85307AS2024OPC025919,POHAHALI ONLINE (OPC) PRIVATE LIMITED,COMPANY,companies_registry
U85320AS2016PTC017640,XENICHEM HEALTH CARE PRIVATE LIMITED,COMPANY,companies_registry
U85320AS2022NPL023347,NE NORTHEAST LAW CHAMBER,COMPANY,companies_registry
U85499AS2023PTC025339,IOASD EDUCATION PRIVATE LIMITED,COMPANY,companies_registry
U80903AS2020PTC019981,KIDEX VENTURE PRIVATE LIMITED,COMPANY,companies_registry
U80903AS2022OPC022776,KLASSKOM (OPC) PRIVATE LIMITED,COMPANY,companies_registry
U80904AS2018NPL018771,NKDUTTA EDUCATIONAL AND REHABILITATION FOUNDATION,COMPANY,companies_registry
U86100AS2024PTC027334,BARAK MEDISPOT PRIVATE LIMITED,COMPANY,companies_registry
U25114AS1986PTC002569,SPEEDEX INDIA PVT LTD,COMPANY,companies_registry
U25114AS1999PTC005956,JUPITER N E MARKETING PRIVATE LIMITED,COMPANY,companies_registry
U25202AS2007PTC008486,HUMA POWER & TOWER PRIVATE LIMITED,COMPANY,companies_registry
U29196AS2008PTC008739,GALAXY SCALES & SYSTEMS PRIVATE LIMITED,COMPANY,companies_registry
U29248AS1993PTC003888,NETWORK ENGINEERS AND CONSULTANTS PVT LT D,COMPANY,companies_registry
U25209AS2009PTC009003,SAVERA DISPOSABLES PRIVATE LIMITED,COMPANY,companies_registry
U29252AS2000PTC006243,T & I ENGINEERS PRIVATE LIMITED,COMPANY,companies_registry
U26101AS2004PLC007529,BISHNUPRIYA GLASS MANUFACTURING LIMITED,COMPANY,companies_registry
U45202AS2007PTC008454,SONARGAON PROJECTS PRIVATE LIMITED,COMPANY,companies_registry
U26921AS1990PTC003463,SWADESHI BRICKS AND BUILDERS PVT LTD,COMPANY,companies_registry
U26940AS2012PTC010880,D S CEMENTS PRIVATE LIMITED,COMPANY,companies_registry
U45203AS1983PTC002024,D N CONSTRUCTIONS PVT LTD,COMPANY,companies_registry
U26944AS1991PTC003508,AMERIGOG PROPERTIES PRIVATE LIMITED,COMPANY,companies_registry
U26956AS1987PTC002724,PRESTRESSED UDYOG (ASSAM) PVT.LTD.,COMPANY,companies_registry
U26959AS2008PTC008700,RUDRADEV CEMENT PRIVATE LIMITED,COMPANY,companies_registry
U27101AS2008PTC008778,SHREE PUNRASAR FERRO ALLOYS PRIVATE LIMITED.,COMPANY,companies_registry
U73100AS2023PTC025424,EDUGENIUS PRO CONSULTANCY PRIVATE LIMITED,COMPANY,companies_registry
U24232AS1989PTC003362,DONSON DRUGS AND PHARMACEUTICALS PVT LTD,COMPANY,companies_registry
U45209AS2012PLC011246,SUBHAM INFRACON LIMITED,COMPANY,companies_registry
U45209AS2013PTC011626,MOLTUS INFRASTRUCTURES PRIVATE LIMITED,COMPANY,companies_registry
U24246AS2001PTC006418,EMINENT HEALTHCARE & COSMETIC PRIVATE LIMITED,COMPANY,companies_registry
U24290AS2019PTC019768,TATRA PERFUMES PRIVATE LIMITED,COMPANY,companies_registry
U80300AS2019PTC019738,IICD CAREER PRIVATE LIMITED,COMPANY,companies_registry
U80302AS2022PTC022442,AZIKSADEMY PRIVATE LIMITED,COMPANY,companies_registry
U24299AS2021PTC021573,HAM-AK PHARMACEUTICALS PRIVATE LIMITED,COMPANY,companies_registry
U24299AS2022PTC022603,STEADLIFE HEALTHCARE PRIVATE LIMITED,COMPANY,companies_registry
U80903AS2012PTC011155,OLYMPUS EDUCATION & RESEARCH PRIVATE LIMITED,COMPANY,companies_registry
U52291AS2025PTC027583,JIGAYASA INTERNATIONAL PRIVATE LIMITED,COMPANY,companies_registry
U80903AS2016PTC012365,TBC INFOSERVICES PRIVATE LIMITED,COMPANY,companies_registry
U52339AS2020PTC020430,ENIGMATRIX MARKETING PRIVATE LIMITED,COMPANY,companies_registry
U80903AS2021PTC021646,ACC EDUCATION PRIVATE LIMITED,COMPANY,companies_registry
U80904AS2022NPL022761,PRAGJYOTIKA FOUNDATION,COMPANY,companies_registry
U25191AS1989PLC003169,NORTH EASTERN TUBES LTD,COMPANY,companies_registry
U25202AS2002PTC006779,EXCELLENT GRAVURE INDUSTRIES PRIVATE LIMITED,COMPANY,companies_registry
U25209AS1965PTC001260,ASSAM POLYTHENE PVT LTD,COMPANY,companies_registry
U25209AS1989PTC003199,J C G AND COMPANY PVT LTD,COMPANY,companies_registry
U25209AS2019PTC019611,MANAK POLYMERS PRIVATE LIMITED,COMPANY,companies_registry
U26529AS2023PTC024839,KIQUA GADGETS PRIVATE LIMITED,COMPANY,companies_registry
U26912AS1996PTC004919,GLAZING GRANITES PRIVATE LIMITED,COMPANY,companies_registry
U26960AS2012PTC010864,PASSAN PROJECTS PRIVATE LIMITED,COMPANY,companies_registry
U27100AS2010PLC009930,ORCHID STEEL & POWER LIMITED,COMPANY,companies_registry
U27101AS1984PTC002177,J.D. WIRE PRODUCTS PVT LTD,COMPANY,companies_registry
U52399AS2009PTC009209,K.B. INTERNATIONAL TRADING PRIVATE LIMITED,COMPANY,companies_registry
U24232AS1990PTC003474,WINTROBE ASSOCIATES PVT LTD,COMPANY,companies_registry
U24232AS2009PTC009430,ADITYA GENERIC(DRUGS) PRIVATE LIMITED,COMPANY,companies_registry
U52399AS2010PTC010032,BAGHESWARI MARKETING PRIVATE LIMITED,COMPANY,companies_registry
U24239AS2021PTC021432,AGNEEV BIO CARE PRIVATE LIMITED,COMPANY,companies_registry
U24239AS2021PTC022266,RUVI PHARMACEUTICAL PRIVATE LIMITED,COMPANY,companies_registry
U52590AS2022PTC023113,FORGIVEMESIN STUDIO PRIVATE LIMITED,COMPANY,companies_registry
U24290AS2021PTC022296,MEDIZEEP INDIA PRIVATE LIMITED,COMPANY,companies_registry
U24290AS2022PTC022753,HAZCHRIST HEALTH CARE PRIVATE LIMITED,COMPANY,companies_registry
U24290AS2023PTC024177,SFS HEALTH & WELLNESS PRIVATE LIMITED,COMPANY,companies_registry
U74140AS1997PTC004971,ECONOMIC AND INDUSTRIAL DEV COLLABORATIV E INDIA PVT LTD,COMPANY,companies_registry
U24298AS2012PTC011098,HANSRATAN FOODS PRIVATE LIMITED,COMPANY,companies_registry
U52291AS2023PTC025480,TITC HOLIDAY PRIVATE LIMITED,COMPANY,companies_registry
U52291AS2024OPC026585,ABABIL ENTERPRISE TOUR AND TRAVELS (OPC) PRIVATE LIMITED,COMPANY,companies_registry
U74140AS2013PTC011548,DEY & SAHA FINANCIAL CONSULTANTS PRIVATE LIMITED,COMPANY,companies_registry
U52399AS2013PTC011450,AR HUB PRIVATE LIMITED,COMPANY,companies_registry
U52399AS2013PTC011495,MEGASTAR INDIA PRIVATE LIMITED,COMPANY,companies_registry
U52520AS2017PTC018020,GENUS TECHNO INFRA PRIVATE LIMITED,COMPANY,companies_registry
U52520AS2022PTC023729,PROXIMA TRADING PRIVATE LIMITED,COMPANY,companies_registry
U52590AS2010PLC009869,SAHAY SALES AND MARKETING LIMITED,COMPANY,companies_registry
U52590AS2010PTC010004,SATYASHOBHA TRADING & SUPPLIES PRIVATE LIMITED,COMPANY,companies_registry
U27109AS1984PLC002275,NECCON POWER & INFRA LIMITED,COMPANY,companies_registry
U52599AS2018PTC018873,BHOGI CONSUMER PRODUCT PRIVATE LIMITED,COMPANY,companies_registry
U52603AS1992PTC003652,KAMALA ELECTRONICS PVT LTD,COMPANY,companies_registry
U52609AS2018PTC018528,NEASTI ONLINE PRIVATE LIMITED,COMPANY,companies_registry
U52609AS2020PTC020315,DROPSCALING PRIVATE LIMITED,COMPANY,companies_registry
U52609AS2020PTC020348,SAIHELPON PHARMACEUTICALS PRIVATE LIMITED,COMPANY,companies_registry
U52609AS2020PTC020404,RELAX LIFE CARE PRIVATE LIMITED,COMPANY,companies_registry
U28253AS2023PTC025643,NUTRIVIVA JUICER PRIVATE LIMITED,COMPANY,companies_registry
U74140AS2005PTC007642,S. M. MANAGEMENT PRIVATE LIMITED,COMPANY,companies_registry
U74140AS2005PTC007831,KAMRUP CONSULTANCY SERVICES PRIVATE LIMITED,COMPANY,companies_registry
U74140AS2005PTC018031,RISEWELL ADVISORY PRIVATE LIMITED,COMPANY,companies_registry
U49230AS2024PTC027235,TRAGEN DELIVERY & LOGISTICS PRIVATE LIMITED,COMPANY,companies_registry
U74140AS2011PTC010807,AXOM ENGINEERING & MANAGEMENT SERVICES PRIVATE LIMITED,COMPANY,companies_registry
U50102AS2009PTC009319,CHIRANG MOTORS PRIVATE LIMITED,COMPANY,companies_registry
U50102AS2012PTC010965,PODDER AUTO INDIA PRIVATE LIMITED,COMPANY,companies_registry
U74140AS2012PTC011342,EASTERN GLOBAL PROCESS SERVICES PRIVATE LIMITED,COMPANY,companies_registry
U27104AS1985PTC002467,TIRUPATI ISPAT PVT LTD,COMPANY,companies_registry
U50400AS2022PTC022602,OCTAVE EARTHMOVERS PRIVATE LIMITED,COMPANY,companies_registry
U27106AS1971PTC001351,LUTCHMINARAIN ISPAT PVT LTD,COMPANY,companies_registry
U27106AS1984PTC002263,NORTH EASTERN STEEL PVT LTD,COMPANY,companies_registry
U51101AS1992PTC003657,GROWWELL ORGANICS PVT LTD,COMPANY,companies_registry
